"",f.value,p.value,-log10(p),FDR,Fisher's LSD
536.950685983187,6.1199,5.9063e-07,6.2287,0.0054644,ltb_bl - ltb_bcg; sim_bcg - ltb_bcg; sim_ppd - ltb_bcg; ltb_bl - ltb_ppd; ltb_bl - ptb_bcg; ltb_bl - ptb_bl; ltb_bl - ptb_ppd; ltb_bl - rtb_bcg; ltb_bl - rtb_bl; ltb_bl - rtb_ppd; ltb_bl - sim_bcg; ltb_bl - sim_bl; sim_ppd - ltb_ppd; sim_ppd - ptb_bcg; sim_ppd - ptb_bl; sim_ppd - ptb_ppd; sim_ppd - rtb_bcg; sim_ppd - rtb_bl; sim_ppd - rtb_ppd; sim_ppd - sim_bl
789.67250619339,6.1002,6.2001e-07,6.2076,0.0054644,ptb_bcg - ltb_bcg; ltb_bcg - ptb_bl; ptb_ppd - ltb_bcg; rtb_bcg - ltb_bcg; ltb_bcg - rtb_ppd; ltb_bcg - sim_bcg; ltb_bcg - sim_bl; ltb_bcg - sim_ppd; ptb_bcg - ltb_bl; ptb_ppd - ltb_bl; rtb_bcg - ltb_bl; ptb_bcg - ltb_ppd; rtb_bcg - ltb_ppd; ptb_bcg - ptb_bl; ptb_bcg - rtb_bl; ptb_bcg - rtb_ppd; ptb_bcg - sim_bcg; ptb_bcg - sim_bl; ptb_bcg - sim_ppd; ptb_ppd - ptb_bl; rtb_bcg - ptb_bl; ptb_ppd - rtb_ppd; ptb_ppd - sim_bcg; ptb_ppd - sim_bl; ptb_ppd - sim_ppd; rtb_bcg - rtb_bl; rtb_bcg - rtb_ppd; rtb_bcg - sim_bcg; rtb_bcg - sim_bl; rtb_bcg - sim_ppd
947.048603147563,5.9011,1.0168e-06,5.9928,0.0082721,ptb_bl - ltb_bcg; ptb_bl - ltb_bl; ptb_bl - ltb_ppd; ptb_bl - ptb_bcg; ptb_bl - ptb_ppd; ptb_bl - rtb_bcg; ptb_bl - rtb_bl; ptb_bl - rtb_ppd; ptb_bl - sim_bcg; ptb_bl - sim_bl; ptb_bl - sim_ppd
940.021172182972,5.8258,1.228e-06,5.9108,0.0092767,ltb_bl - ltb_bcg; ltb_ppd - ltb_bcg; ptb_bcg - ltb_bcg; ptb_bl - ltb_bcg; rtb_bl - ltb_bcg; rtb_ppd - ltb_bcg; sim_bl - ltb_bcg; ptb_bcg - ltb_bl; ptb_bl - ltb_bl; rtb_bl - ltb_bl; ltb_ppd - rtb_bcg; ltb_ppd - sim_bcg; ltb_ppd - sim_ppd; ptb_bcg - ptb_ppd; ptb_bcg - rtb_bcg; ptb_bcg - sim_bcg; ptb_bcg - sim_bl; ptb_bcg - sim_ppd; ptb_bl - ptb_ppd; ptb_bl - rtb_bcg; ptb_bl - sim_bcg; ptb_bl - sim_bl; ptb_bl - sim_ppd; rtb_bl - ptb_ppd; rtb_bl - rtb_bcg; rtb_bl - sim_bcg; rtb_bl - sim_bl; rtb_bl - sim_ppd; rtb_ppd - sim_ppd
1071.56217570906,5.7709,1.4098e-06,5.8508,0.0099404,ptb_bl - ltb_bcg; rtb_bcg - ltb_bcg; ptb_bl - ltb_bl; rtb_bcg - ltb_bl; ptb_bl - ltb_ppd; rtb_bcg - ltb_ppd; ptb_bl - ptb_bcg; rtb_bcg - ptb_bcg; ptb_bl - ptb_ppd; ptb_bl - rtb_bl; ptb_bl - rtb_ppd; ptb_bl - sim_bcg; ptb_bl - sim_bl; ptb_bl - sim_ppd; rtb_bcg - ptb_ppd; rtb_bcg - rtb_bl; rtb_bcg - rtb_ppd; rtb_bcg - sim_bcg; rtb_bcg - sim_bl; rtb_bcg - sim_ppd
377.192952026508,5.6462,1.9319e-06,5.714,0.01168,ptb_bcg - ltb_bcg; rtb_bcg - ltb_bcg; ptb_bcg - ltb_bl; rtb_bcg - ltb_bl; ptb_bcg - ltb_ppd; rtb_bcg - ltb_ppd; rtb_ppd - ltb_ppd; ptb_bcg - ptb_bl; ptb_bcg - ptb_ppd; ptb_bcg - rtb_bcg; ptb_bcg - rtb_bl; ptb_bcg - rtb_ppd; ptb_bcg - sim_bcg; ptb_bcg - sim_bl; ptb_bcg - sim_ppd; rtb_bcg - ptb_bl; rtb_bcg - ptb_ppd; rtb_bcg - rtb_bl; rtb_bcg - sim_bcg; rtb_bcg - sim_bl; rtb_bcg - sim_ppd; rtb_ppd - rtb_bl; rtb_ppd - sim_bl
944.481618853921,5.6447,1.9389e-06,5.7124,0.01168,ltb_ppd - ltb_bcg; ptb_bcg - ltb_bcg; ptb_bl - ltb_bcg; rtb_bcg - ltb_bcg; rtb_bl - ltb_bcg; ltb_ppd - ltb_bl; ptb_bcg - ltb_bl; ptb_bl - ltb_bl; rtb_bcg - ltb_bl; rtb_bl - ltb_bl; ltb_ppd - ptb_ppd; ltb_ppd - rtb_ppd; ltb_ppd - sim_bcg; ltb_ppd - sim_bl; ltb_ppd - sim_ppd; ptb_bcg - ptb_ppd; ptb_bcg - rtb_ppd; ptb_bcg - sim_bcg; ptb_bcg - sim_bl; ptb_bcg - sim_ppd; ptb_bl - ptb_ppd; ptb_bl - rtb_ppd; ptb_bl - sim_bcg; ptb_bl - sim_bl; ptb_bl - sim_ppd; rtb_bcg - ptb_ppd; rtb_bl - ptb_ppd; rtb_bcg - rtb_ppd; rtb_bcg - sim_bcg; rtb_bcg - sim_bl; rtb_bcg - sim_ppd; rtb_bl - rtb_ppd; rtb_bl - sim_bcg; rtb_bl - sim_bl; rtb_bl - sim_ppd
756.371327558436,5.6197,2.0661e-06,5.6848,0.01168,ptb_bcg - ltb_bcg; ltb_bcg - ptb_bl; ltb_bcg - sim_bcg; ltb_bcg - sim_bl; ltb_ppd - ltb_bl; ptb_bcg - ltb_bl; ptb_ppd - ltb_bl; rtb_bcg - ltb_bl; sim_ppd - ltb_bl; ltb_ppd - ptb_bl; ltb_ppd - rtb_ppd; ltb_ppd - sim_bcg; ltb_ppd - sim_bl; ptb_bcg - ptb_bl; ptb_bcg - rtb_bl; ptb_bcg - rtb_ppd; ptb_bcg - sim_bcg; ptb_bcg - sim_bl; ptb_ppd - ptb_bl; rtb_bcg - ptb_bl; sim_ppd - ptb_bl; ptb_ppd - rtb_ppd; ptb_ppd - sim_bcg; ptb_ppd - sim_bl; rtb_bcg - rtb_bl; rtb_bcg - rtb_ppd; rtb_bcg - sim_bcg; rtb_bcg - sim_bl; sim_ppd - rtb_ppd; sim_ppd - sim_bcg; sim_ppd - sim_bl
1343.99509799602,5.6079,2.1289e-06,5.6719,0.01168,rtb_bcg - ltb_bcg; rtb_bcg - ltb_bl; rtb_bcg - ltb_ppd; rtb_bcg - ptb_bcg; rtb_bcg - ptb_bl; rtb_bcg - ptb_ppd; rtb_bcg - rtb_bl; rtb_bcg - rtb_ppd; rtb_bcg - sim_bcg; rtb_bcg - sim_bl; rtb_bcg - sim_ppd
1153.49391513589,5.5685,2.3535e-06,5.6283,0.01168,ltb_ppd - ltb_bcg; ltb_ppd - ltb_bl; ltb_ppd - ptb_bcg; ltb_ppd - ptb_bl; ltb_ppd - ptb_ppd; ltb_ppd - rtb_bcg; ltb_ppd - rtb_bl; ltb_ppd - rtb_ppd; ltb_ppd - sim_bcg; ltb_ppd - sim_bl; ltb_ppd - sim_ppd
