lipid_class,counts
Acidic glycosphingolipids,1
Diradylglycerols,1
Glycerophosphocholines,1
Glycerophosphoethanolamines,1
Glycerophosphoglycerols,3
Glycerophosphoinositol monophosphates,3
Glycerophosphoinositols,6
Glycerophosphoserines,1
Glycosyldiradylglycerols,4
Neutral glycosphingolipids,1
Phosphosphingolipids,1
Sphingoid bases,1
Triradylglycerols,2
