id,name,fold,tstat,pvalue,anova,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,LTB,PTB,RTB,SIM,T016B1,T016BCG,T016PPD,T027B1,T027BCG,T027PPD,T080B1,T080BCG,T080PPD,T095B1,T095BCG,T095PPD,T101B1,T101BCG,T101PPD,T104B1,T104BCG,T104PPD,T011B1,T011BCG,T011PPD,T013B1,T013BCG,T013PPD,T014B1,T014BCG,T014PPD,T032B1,T032BCG,T032PPD,T033B1,T033BCG,T033PPD,T047B1,T047BCG,T047PPD,T051B1,T051BCG,T051PPD,T107B1,T107BCG,T107PPD,T108B1,T108BCG,T108PPD,T166B1,T166BCG,T166PPD,T173B1,T173BCG,T173PPD,T176B1,T176BCG,T176PPD,T035B1,T035BCG,T090B1,T090BCG,T090PPD,T142B1,T142BCG,T142PPD,T163B1,T163BCG,T163PPD,T164B1,T164BCG,T164PPD,T165B1,T165BCG,T165PPD,isotopes
168,M1028T7826,1.188543297,-0.367415431,0.716046175,0.901568966,1028.485111,1028.482201,1028.486245,7826.0265,7815.828,7838.6112,14,10,1,2,1,29411260.22,7452114.17,2395597.653,19883643.97,9946066.068,15891797.45,1620921.771,1630007.54,153092196.6,16817488.95,3416067.299,14843723.97,43025174.41,13450690.44,15604243.22,56079961.64,1778983.191,5528246.368,15093794.93,6995857.345,25661392.79,3381376.455,6981674.257,60727348.06,3288807.286,913855.6838,9043189.298,1193624.071,3574976.632,3608087.234,48594854.04,27578067.96,21030902.17,24470363.66,7931941.423,76461801.79,27027768.7,990229.5226,110751819.8,1031841.22,341139.1492,5850396.753,71590419.29,689565.3267,20507857.2,105695.5997,943538.3614,7465707.263,2272712.862,1014530.805,3138065.624,267531.1505,488271.173,1680129.953,41626330.93,265436563.6,17003497.65,25307700.24,41398506.26,825166.0744,0,138793.3015,833618.3541,507505.5967,570017.5501,1098129.873,528183.7113,407478.8587,1071843.046,0,277211.7472,
169,M1050T8192,1.296271581,-0.353218431,0.726212073,0.513518556,1050.312771,1050.309318,1050.314153,8191.7727,8174.8542,8204.4678,22,7,9,1,5,32638991.57,3278441.458,870447.7021,2985999.83,2178010.783,1688680.641,2514844.178,14000529.72,8642235.704,101483527.4,208073363.4,1588542.862,3918619.168,48754533.78,931252.8426,1544444.007,3482416.563,869224.5652,2947079.765,5085914.251,12657469.04,438668.6908,18846098.02,34069072.46,181406290.7,228245.8989,244710.6235,248487.8371,7785818.22,432953.2321,6267871.76,25577340.45,6332770.649,22906609.27,12756313.54,774488.2261,85304997.03,1525584.365,1023852.284,0,556694.4854,0,1006938.406,497314.3695,892923.7073,0,0,0,0,0,0,0,0,0,28535779.67,39622907.12,134587975.1,19308898.75,69460059.7,0,0,0,0,0,0,0,0,0,0,0,0,
170,M645T1079,1.320889592,-0.351083222,0.728316307,0.382569368,645.2982173,645.2967187,645.298458,1078.76082,1067.76174,1086.84306,22,8,9,2,3,17264363.82,25067.4483,1597.363983,109673638.5,33194585.74,11384334.64,3224.773364,61645.42949,228360.2546,6242993.876,148930.1334,1663313.971,1634191.771,193949.3957,1786298.496,143345.6341,8212.175698,0,1597581.783,1982.096823,5212.125846,2590.204212,15199383.69,1762624.238,1103153.354,0,33619.71333,1912.509683,46607507.88,3711.598291,7108775.393,10876311.99,250176.3391,10931664.6,43551815.41,3161.523275,19337793.7,0,2849.33,943674.7266,7522.725714,8798.926752,1106452.745,1004.894091,1143.473364,2069353.781,11054.52643,390585.2957,5782.26185,2419952.343,6401.676431,11337340.46,4889.252977,1339.363378,2113540.754,25280461.07,1794856.696,2021588.512,13218366.63,21804.38371,875920.0924,2060574.43,7963114.955,6548.860339,2400855.551,110972.6497,2798.338236,7245.412784,834.6858761,1464.008593,2749.165171,
171,M616T8551,1.216108256,0.349749981,0.728947559,0.015656364,616.4628385,616.4616404,616.4636198,8551.1442,8542.4538,8557.3254,21,10,10,1,0,79333376.31,818267.9955,20619400.91,83791667.21,17853779.98,19124650.72,11161616.62,0,11228096.61,0,0,5443945.352,0,0,0,0,22124102.36,71574679.66,0,3124985.53,1757290.323,12406026.63,0,0,0,24535102.83,0,23946060.61,103659078.3,130591560.9,0,0,0,14923775.45,94366411.85,7904325.049,0,24949908.55,5112609.429,0,0,0,0,11274611.23,5077107.932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
172,M963T8045,1.190530046,-0.343682368,0.734113116,0.219448346,963.2524361,963.25007,963.2540605,8044.6131,8026.911,8057.9604,20,7,9,1,3,1819607.263,12318031.31,1338332.516,6122908.896,2645420.737,6306094.373,2644869.084,57542385.78,1260575.285,9277339.876,2275043.978,5359065.821,4366043.754,2410678.993,8514046.338,3926691.441,911185.857,727069.7272,597245.0073,8056544.872,9970588.435,454813.9181,5431800.553,11355940.29,2128752.13,813310.4316,18479296.31,1013173.53,1083301.938,1070568.079,15277982.56,5142442.326,15762050.47,6897367.828,4300693.179,1162125.727,1343195.751,1580532.668,3301349.195,19447.38437,164248.235,143171.65,3404693.949,684536.4921,1989415.895,582658.7516,107382.0825,867313.0641,102388.9702,407267.0586,134316.0755,247969.3843,1355289.208,220798.9929,54347029.34,16916246.79,4311240.433,11565043.03,11108564.04,3228602.386,81363.97825,152004.6861,337253.2697,83418.42161,1044459.525,325564.5751,391134.5167,408467.6133,333910.8586,27733.27637,263571.5858,
173,M1194T8211_2,1.302169501,0.33463885,0.740061162,0.134408516,1194.105615,1194.104515,1194.108868,8211.1188,8201.4432,8219.8974,20,9,9,0,2,15585692.43,51779560.31,18568210.6,6294610.718,10473814.54,15189440.72,15767020.09,3478707.3,534139799.8,17247991.92,4031842.574,42412150.21,154440.2679,4272418.46,1192750.838,101034.1065,1058136.013,371809.9969,1068611.588,59170247.82,40140293.23,798564.7704,131034686.3,123773985.9,5769614.221,1413718.492,5923053.631,155652.4891,783768.2163,38191009.7,35097358.14,21959423.58,412910302.9,53014769.31,2376320.536,32783908.37,1380990.91,726658.1212,24567840.69,0,78767.82502,0,5686226.596,2880748.746,33730700.88,0,0,0,0,0,0,0,0,0,18409896.91,3711724.999,5333558.714,2340926.665,2806866.922,0,0,0,0,0,0,0,0,0,0,0,0,
174,M802T8212,1.303910829,0.333724211,0.7406595,0.14599181,802.0822337,802.0810871,802.0837418,8212.476,8201.9904,8219.8974,19,7,9,0,3,6473088.48,12045217.31,2937718.18,3877825.98,3530034.372,3374519.062,1418506.083,766437.9406,137938844.7,9134780.058,1196364.366,14068508.97,226582.3607,776498.0642,1215960.948,53283.33549,881764.0148,225336.4743,551271.8603,13430886.24,13510220.1,294665.9206,30001171.74,28148223.22,237296.272,466614.6578,1889276.59,223477.9199,461783.6937,1725346.847,9975907.656,6838380.67,123049484.8,20136711.66,1360562.864,8665087.554,555645.2391,558090.0096,10722613.17,0,87552.40364,0,2788484.166,465993.6285,3016440.189,0,0,0,0,0,0,0,0,0,9718985.17,998635.614,1025928.847,1279382.513,274295.0874,0,0,0,0,0,0,0,0,0,0,0,0,
175,M411T8529,1.178092348,0.324382515,0.747659472,0.116132064,411.122656,411.1217988,411.1229354,8529.4212,8517.2088,8545.0932,28,11,8,2,0,11937789.99,10969247.42,121662362.4,7876570.881,10242626.53,13670333.78,36410017.93,0,9139734.149,0,0,12257634.87,0,0,0,0,35717914.25,29362176.6,0,16639057.37,9219497.464,52291082.33,0,0,0,89148261.06,0,26445168.72,17495707.68,56661793.62,0,0,0,38607507.75,8073663.652,37958164.7,0,118059349,45364689.07,0,0,0,0,46913794.98,61958181.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
176,M801T8211,1.287510183,0.320969644,0.750230932,0.133878041,801.4135721,801.41276,801.4150489,8210.7708,8201.9904,8218.3722,19,7,9,0,3,6850338.024,13094143.31,4984953.204,4125541.599,3520117.791,3577019.586,1286759.804,658719.518,150949873.2,8997626.656,1902492.448,14903906.87,443866.5581,1709641.7,1512713.511,49675.69868,929359.0494,418702.9632,717156.4639,13781534.26,14501377.67,394853.1853,30373050.6,29294545.98,2414132.03,825039.599,2860632.35,199477.3628,670507.7244,2816968.088,10695224.5,8312743.3,132094642.9,21592120.15,1746158.504,9853218.475,808666.5581,790514.1157,3307641.196,0,56440.58777,0,3807954.239,783307.1291,3406454.028,0,0,0,0,0,0,0,0,0,11805001.98,1480684.785,1386759.298,1085800.9,668074.7634,0,0,0,0,0,0,0,0,0,0,0,0,
177,M1194T8211_1,1.284570429,0.318081192,0.752490102,0.13022124,1193.60428,1193.603,1193.60647,8210.6088,8196.6558,8219.8974,21,9,9,0,3,20899128.03,74602029.58,20140383.18,9785049.883,13720700.43,34034264.2,21782522.92,5589757.417,763331517.4,27906770.75,5970085.327,59303457.15,292270.304,1463378.064,1257474.147,123246.1124,1323845.005,281524.0887,1074673.25,82492674.2,56966797.51,1043771.589,186052067.1,172782136.2,28005718.43,1949881.841,7735541.192,423336.2733,882541.5965,40300046.1,49988964.64,30865721.65,578440201.7,74783216.39,2827477.924,47351625.23,935624.0299,1500890.234,32982841.25,0,107068.8299,0,8403890.795,3727720.505,37648116.35,0,0,0,0,0,0,0,0,0,26511369.32,5660758.544,4149734.069,3753887.847,3388975.763,0,0,0,0,0,0,0,0,0,0,0,0,
178,M933T8195,1.154034799,0.312170964,0.756914321,0.144077497,932.835754,932.834438,932.8389294,8194.5576,8174.8542,8199.975,25,9,10,1,5,8733213.586,4313439.335,851849.7242,15004072.28,1092399.093,1906641.82,205109.2458,3479899.353,5449236.042,31778326.26,54414353.21,2065596.632,1797158.353,39619112.03,1364226.959,731693.4958,55872.78428,661013.4005,1519669.693,2737823.569,4594475.31,445699.0895,23124692.41,37239834.16,34596424.87,464587.5579,3548958.719,404773.5417,1960452.295,240073.2593,21482957.03,26143154.15,12204646.18,17989447.28,11043091.37,511066.5344,11837376.46,740476.6559,440833.8912,0,3927111.588,0,9398586.725,447663.7588,1010811.854,0,0,0,0,0,0,0,0,0,60187330.44,18396782.85,72023921.79,26231559.56,38781806.18,0,0,0,0,0,0,0,0,0,0,0,0,
179,M855T8121,1.158036115,-0.292247849,0.771950772,0.105270455,855.068118,855.066924,855.0704336,8120.607,8107.638,8131.5786,16,3,9,1,3,1136482.746,4169495.524,1619661.639,4864702.658,6887852.791,6706713.879,1163984.679,21004327.67,3999895.177,1136953.653,1346400.717,834540.9401,684004.2837,492788.2978,535814.706,139267.8206,512067.6281,545588.4433,2474206.735,914904.1181,3029171.045,1027906.658,3970109.724,17606042.35,1300147.237,1015104.275,1002943.432,1016013.061,262075.3822,114351.2522,2620652.841,1141450.18,2675562.123,1461869.664,1822159.05,6440616.961,838583.8593,1112126.924,10221477.02,0,57076.91567,0,3417688.956,1029588.393,3296046.044,0,0,0,0,0,0,0,0,0,2649539.487,1339428.343,1394192.033,2897741.324,4275523.044,0,0,0,0,0,0,0,0,0,0,0,0,
180,M821T1199,1.270895644,-0.291158846,0.773148146,0.166712367,820.6049607,820.6043027,820.6055601,1199.0739,1187.56704,1211.79582,25,8,9,5,2,831016.2772,1221.88801,48838.98308,2011517.009,85350485.64,33373127.09,1684667.39,10513.76692,9508458.449,3155756.672,5534.818752,1870296.217,349122.7599,850215.3827,66805.69724,0,509480.2695,1063.517401,666822.2103,0,14564.07583,907207.7493,33332848.86,13559750.85,10364.49375,341841.3914,4131.934383,1042781.902,1583477.834,515249.8963,6552365.457,41453024.76,448068.2897,1546648.372,6762484.965,1124289.099,371402.6817,1732.086607,720417.4215,840617.5696,6416259.676,8920.266276,762689.4006,368368.2461,759704.9727,0,6073.592984,417121.1363,0,0,0,0,1286796.765,0,0,186679.3933,17285.38842,49192.29772,54353.98597,1032126.133,0,0,0,6257.555266,0,0,2174350.284,0,0,18018.27113,13981.56474,
