id,name,fold,tstat,pvalue,anova,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,b1,bcg,ppd,T051B1,T107B1,T108B1,T166B1,T173B1,T176B1,T051BCG,T107BCG,T108BCG,T166BCG,T173BCG,T176BCG,T051PPD,T107PPD,T108PPD,T166PPD,T173PPD,T176PPD
391,M504T2452_1,11.86689268,-2.110143645,0.087348679,0.113351962,503.9070834,503.9070209,503.9072429,2451.67692,2447.20002,2456.96544,3,3,0,0,45848281.79,89476184.55,42202201.88,13067664.82,2095757.45,937214.9973,72396.27064,1668761.468,2878972.536,811574.317,927929.1398,9956963.263,920801.2712,1816210.963,181755.4915,55437196.07,4924426.835,3967040.919
392,M654T5084,130.83119,2.1211061,0.087377644,0.059883994,653.8299658,653.8284375,653.8301614,5084.10714,5077.78998,5091.70476,4,0,3,1,507964.7542,675165.7533,269501.5348,89622.72906,2356092.044,769674.1282,1107212.319,240550254,1401836.534,233167425,487834.3397,134008172.6,313064.8179,92985450.29,7394192.227,1454027.046,27811544.11,4391941.317
393,M403T2012,17.92140332,-2.119077813,0.087483085,0.029732664,403.219372,403.2193233,403.2195708,2011.70016,2007.46698,2017.94472,3,3,0,0,46811774.62,182171329.3,20098149.91,38025969.33,250611024.7,11627868.56,4873409.22,7990561.099,263046.5971,2597487.971,9343433.43,5585136.466,228064.8486,9178785.852,139405.0416,1471833.411,8148083.305,10892375.06
394,M984T6908,19.98645191,2.116033896,0.087583401,0.367248514,983.7760696,983.775304,983.7769972,6908.4762,6903.7722,6910.4832,3,0,3,0,436192.9718,6494136.155,1809372.178,220118.8081,1728266.53,561693.2312,808631.245,21022525.24,84451046.28,25474237.27,0,93086744.45,1207426.811,39905102.45,18879655.01,260502642.1,2916639.155,3461180.911
395,M806T6517_2,30.85830492,2.117631835,0.087666901,0.437613562,805.8744249,805.8720549,805.8751787,6517.3968,6517.2372,6524.8338,3,0,3,0,11420919.61,1603755.927,24740752.36,17461707.69,985871.6564,1246903.072,566033.5016,635028534.3,2370356.825,435000945.8,8843171.531,691306390.7,49040344.2,1633798147,5526561.891,1941583.822,30992125.36,251094.5796
396,M700T3163,6.564991955,2.031559142,0.087702867,0.033062534,700.0117162,700.0112904,700.0120176,3163.43151,3160.12248,3163.64136,4,1,3,0,345535.365,0,108344.5931,0,1039206.339,11663949.98,170391.63,34951845.99,0,15173785.92,25613507.28,10466306.5,5959997.467,0,648837.4439,1598675.065,0,0
397,M604T5447,21.42508663,-2.113783747,0.088062468,0.116356494,604.3535712,604.3535566,604.3540129,5446.80588,5443.3062,5452.947,3,3,0,0,49607.08989,22017958.64,25645824.9,30925020.47,0,404361.3688,469076.9791,1567079.671,109032.2295,294732.0457,568934.2905,680407.4612,161333.9763,511602.2143,135041.8386,23625090.13,563461.5659,173055.7086
398,M910T6254_2,10.83072683,2.097089133,0.088198789,0.047850217,910.4665909,910.4654443,910.4686002,6254.3058,6250.4034,6257.733,5,1,3,1,1109921.108,0,717849.1038,0,39073536.24,30609244.42,0,114775058.8,104001.7188,324522085.9,74348051.93,260762043.4,564521.449,86818641.38,21833065.74,0,25031177.86,17642977.75
399,M624T5721,1.992175148,1.902893714,0.088339439,0.239506504,624.3059982,624.3045452,624.3067402,5721.40218,5720.94858,5726.7399,5,0,3,2,18286111.99,13606685.98,4354026.075,1313158.074,7684460.179,4644111.426,24520770.4,2721474.877,18492661.24,10212872.71,23408074.06,20030883.61,13391830.43,19153917.11,5353470.971,24687445.4,2290865.627,2765082.822
400,M821T2728,12.23709433,2.083652126,0.088383698,0.172791507,821.4054185,821.4038625,821.4064454,2727.62925,2720.34786,2732.7777,4,0,3,1,69886.12968,69032.16719,279027.1144,0,7083184.313,0,1739030.855,29735971.54,42620.78236,33557217.74,0,26717191.07,0,36495515.47,16675.76608,3354797.899,9257684.228,23890734.84
401,M494T6189,3.17910965,1.913690866,0.088807389,0.158945187,493.7528739,493.7524432,493.7533293,6189.0786,6183.7896,6193.0104,5,0,2,3,0,86270.34178,104515.5719,255265.3233,16771880.22,11134507.37,4552612.999,31255069.39,1875094.517,21209680.09,18095473.44,13147581.44,2125224.509,35235123.01,7155851.814,14237957.49,9482186.817,39629887.07
402,M1544T4302,Inf,2.107814199,0.088867891,0.061676144,1543.733273,1543.732155,1543.735739,4301.86008,4299.55404,4303.53942,4,0,3,1,0,0,0,0,0,0,21816.96105,43227192.08,0,22662853.29,0,37329833.05,114269.391,15285949.02,116633.5913,0,6335982.328,0
403,M578T5102,14.67311446,2.087721301,0.088917741,0.228997729,578.3744048,578.3733962,578.3748036,5102.2638,5096.58696,5107.95816,5,1,3,1,240701.3151,0,0,0,5585405.008,66662.30433,115374.9208,28274458.09,285086.7745,29499902.97,148324.5634,28142121.24,595797.1431,46894763.14,1575937.419,838425.9627,9878390.194,12011317.73
404,M534T4788,33.53296245,2.102051864,0.089101701,0.227239162,533.7580262,533.7563326,533.7581879,4787.56734,4784.94486,4795.90884,5,0,2,3,738233.8559,428937.4257,483072.6632,854996.9804,69477306.45,488606.5239,451609.5968,1013783480,1428965.513,689359977.2,84781.24413,725063668.4,808772.3657,1226267937,467979.1298,16063817.22,229003450.9,146255292.1
405,M513T3977,2.995488091,1.956938936,0.08915386,0.458546152,513.1922283,513.1920026,513.1925323,3977.40513,3971.48364,3983.77482,4,1,3,0,254487.1333,6252876.782,212626.7572,17635206.77,2362963.758,9256237.733,104957.6817,16711910.45,5893951.441,27991010.36,35795657.65,21263396.03,3976479.387,1218238.041,1374113.055,62505896.75,2203211.594,11575825.51
406,M803T4302,130.0895331,2.104874975,0.08918987,0.158091633,803.3269147,803.3255287,803.3274387,4302.42309,4299.88026,4305.8397,4,0,3,1,0,0,442065.407,0,597850.0137,78112.05742,163405.203,64751528.04,94333.8892,35792584.61,265977.2167,44375843.69,0,52517974.99,0,293305.5067,22465400.99,353174.6284
407,M575T5438,3.219326846,2.067305467,0.089217101,0.334036571,574.7898095,574.7891993,574.7901759,5437.92762,5434.5534,5441.20044,3,0,3,0,2228499.952,5670531.35,1969534.508,5643918.588,9202978.462,7020063.362,25987716.03,10845599.87,1935708.642,37828873.45,5257220.752,20311912.79,691115.8383,11086541.19,583573.5615,78954750.09,42410265.89,2672611.1
408,M906T6888,25.76764693,2.103107692,0.08924461,0.326601979,905.6319406,905.6316798,905.6323679,6888.1056,6887.5242,6895.6524,3,0,3,0,329488.6934,393825.4655,1309016.481,1243016.647,0,0,0,17682913.55,1507777.361,30976557.24,308545.3982,33922198.92,0,89139173.78,474480.3215,6759390.013,3116822.316,19054681.95
409,M442T1419,12.22229413,-2.096749864,0.08928293,0.174634161,442.1954904,442.1950704,442.1957608,1419.25764,1413.84456,1419.34266,3,3,0,0,12079146.11,5631112.465,86413.08109,12662809.07,19252416.55,50707494,684643.3204,854200.251,5197.27421,10018.85662,3573786.027,3088237.948,49628.16242,35070.53867,15378.20126,37944555.29,5311214.777,2684087.477
411,M785T3501,16.86149853,2.095995212,0.08947029,0.214083352,784.8320933,784.8317109,784.833511,3501.46779,3495.40452,3509.3463,4,0,3,1,1598186.78,0,304390.2649,0,571754.6568,0,16401.56342,13994388.93,0,14383267.37,0,13326882.49,0,18499099.78,97294.5155,313160.1334,4524293.891,0
412,M1063T1046,17.77902241,-2.087900027,0.089493787,0.267625812,1063.356108,1063.354308,1063.356416,1045.97898,1040.25444,1047.38586,5,4,0,1,3618020.615,965958.7596,684257.5776,1777812.497,1738.559578,228682.972,0,0,0,5580.848239,403691.9911,0,0,0,1540.065629,3706985.955,0,1391.713028
413,M807T6517,6.543236669,2.086153868,0.089516466,0.493335752,807.1263719,807.1245063,807.1273342,6517.3968,6517.2372,6524.8338,3,0,3,0,986158.3206,1267378.288,5531388.014,4111726.253,635410.5087,1649212.966,942030.8548,30327109.02,5153683.472,21597720.89,349110.9447,34421779.16,745268.1864,82046716.61,1038392.97,2794628.553,2061071.927,105118.9091
414,M711T1900,352.7692524,-2.10199192,0.08952613,0.032361126,711.3725539,711.3723324,711.3726447,1900.46754,1896.34362,1904.31492,3,3,0,0,9504503.346,91340432.57,135133404.5,51891266.05,169819.1633,0,0,139069.376,307117.3112,130153.9008,0,240168.8544,28253.74559,194509.1824,129413.9066,4440369.56,0,235001.3422
415,M525T4838,6.925835136,-2.076927577,0.089644409,0.027437051,524.6303339,524.6280193,524.6316109,4838.04066,4834.5231,4839.29256,3,3,0,0,3648974.527,32866818.45,864689.1597,30305573.64,31684685.19,163715.3626,136267.1312,1335237.971,849008.7257,4441129.087,733205.9318,6876624.682,377405.668,2044498.784,447765.0618,1526322.022,3647773.821,264574.3902
416,M553T4868,8.865567511,2.092546779,0.089709961,0.337352337,552.5103894,552.5100023,552.511117,4867.86909,4860.75102,4875.55974,6,2,3,1,1296014.501,4107189.651,301218.4889,3224667.297,1658051.538,464117.0755,795466.7844,25148326.09,86199.16658,39462506.2,3826765.809,28656414.72,41846.19601,73669279.92,159282.4973,6466729.163,20814724.68,459985.6682
417,M849T7806_2,10.50411573,-2.096068538,0.089731831,0.173612276,849.3732,849.372903,849.3740948,7805.8506,7802.07,7806.978,3,3,0,0,784745.8392,12844798.56,9293677.068,15912998.68,291272.1847,541147.6447,1365669.474,348725.379,744833.2428,0,617527.8338,699729.4976,8844225.842,376563.6627,3204447.142,14687437.78,284380.1589,131212.479
418,M588T4390,38.79399494,2.098658993,0.089847577,0.202412193,587.8286216,587.8283723,587.8288699,4389.50628,4385.52948,4391.8542,3,0,3,0,5925301.5,1543759.889,4470242.572,344308.1159,16268611.91,4968443.902,920817.0481,318052142,2882536.699,553549228.9,3381212.086,421614683.9,97959162.56,953405854.9,23146573.4,12142754.59,756579057.5,10518476.25
419,M931T4305,1091.593074,2.098283312,0.089948585,0.065046505,930.9673446,930.9665195,930.9679536,4304.70429,4295.7414,4309.57752,4,0,3,1,0,0,144076.7769,0,0,0,0,33193507.1,0,63746315.64,82752.82168,60250636.29,0,26466327.62,0,0,1029626.934,4851951.566
420,M395T4303,363.3861027,2.098050424,0.089972961,0.108573055,395.4236896,395.4232938,395.4240256,4303.27827,4297.13364,4304.99046,4,0,3,1,38615.87331,0,0,0,386552.0372,23398.01687,147936.1656,73842991.32,47148.68938,41120772.73,22138.44197,47821636.78,85452.09986,45776550.01,19829.57974,95366.25527,5332473.989,703305.6008
421,M639T6962,53.59781894,2.096156511,0.090145931,0.076011741,639.0510599,639.0482215,639.0512811,6961.95,6955.1382,6967.8252,5,0,3,2,1610685.145,417780.3042,7575923.555,508553.0022,0,8657712.743,966039.8969,419838054,2582903.39,225688283,1634160.399,355356714,24319350.59,199592845.2,4289447.789,3411712.172,30705045.82,5364808.908
422,M741T7913,11.23626107,2.089127401,0.090223175,0.182087706,740.7815009,740.7808062,740.7824606,7913.4846,7908.429,7922.55,5,0,2,3,1147778.337,0,637367.0011,70254.4858,132136.8847,809798.0788,590396.4501,10485019.38,4930549.148,13553418.88,748715.3699,1123484.74,26175028.96,5512488.131,14789364.48,2018202.168,37492.37388,94966.2662
423,M503T2233,7.988251607,-2.08276985,0.09025271,0.045828386,502.6805011,502.680374,502.6807031,2232.81456,2230.1892,2237.63076,4,4,0,0,9710747.172,7584753.965,39175460.85,27992960.93,2485705.987,2275205.266,1320912.452,5302184.301,648433.021,1520073.287,1942502.892,435401.2879,344548.77,574077.9935,66240.96627,3180133.262,10862057.46,710234.3022
424,M727T6464,4.102372761,2.050920836,0.090315544,0.063680612,726.7503342,726.7490282,726.7515316,6464.1078,6461.6964,6465.8244,3,0,3,0,2176923.569,2988025.947,4788950.037,582938.0232,10872542.29,4807216.578,33205233.92,7137756.51,3820941.769,3801685.116,19377090.59,40207543.24,17203436.99,3475710.452,3252167.397,4671497.827,6841860.743,391168.4862
425,M672T2685,13.94501678,2.072395014,0.090325742,0.341383211,671.8556743,671.8550492,671.8591071,2684.9046,2677.2036,2691.1341,5,1,3,1,0,0,74591.28167,0,2165618.326,81765154.82,0,382892074.2,0,323654539.1,16552387.16,448357215.7,0,813018443.2,0,166357.1222,225723737,0
426,M1089T7064,21.55158816,2.090199996,0.090332893,0.383543484,1088.55773,1088.557451,1088.558111,7063.7745,7060.6686,7071.483,4,0,3,1,311748.211,0,647072.4138,0,0,2451240.381,618505.997,37248330.39,0,13059280.46,8165176.977,14400936.56,0,52571667.77,757564.1451,312837.1386,528597.361,184549.5392
427,M931T4300,105.8282882,2.09466165,0.090339364,0.064191249,931.4684253,931.4683636,931.4691895,4299.88026,4295.0415,4305.8397,3,0,3,0,0,0,933945.9159,0,324322.1542,0,0,29530750.96,0,55329330.62,76071.93134,48224202.48,0,21183930.45,0,0,0,6676249.407
428,M710T1900,94.19098809,-2.093412414,0.090488293,0.034294567,710.3697714,710.3695802,710.3698544,1900.0752,1896.34362,1904.8245,3,3,0,0,24011027.09,292144730.7,447873899.9,174357243.4,9455340.268,106330.0191,0,3293932.075,0,5726284.464,0,1043894.588,15856.06031,3545716.925,737803.42,20516778.26,3260415.712,7540651.02
429,M438T5775,37.86803334,2.091759783,0.09050713,0.108159414,437.5196947,437.5184281,437.5211111,5774.9331,5772.86472,5776.55424,3,0,3,0,440844.7112,67135.54257,0,0,1503168.215,0,85222.24702,25972791.65,1405107.929,15380254.37,166160.7773,33148700.28,278107.5564,21331384.89,52069.82428,114126.7972,63551.19266,38274.85912
430,M555T4869,123.0895409,2.091923248,0.090677984,0.314241648,554.7478692,554.7475837,554.7480189,4869.43116,4861.2534,4870.61046,4,0,3,1,458004.3322,430542.1515,312685.5085,399291.1712,297217.8925,359695.2622,1180056.17,69142422.8,301198.5532,128158633.3,817404.9688,78267084.32,514762.387,188520118.3,451861.562,1370386.06,32123250.25,1335568.705
431,M1145T1047,103.9150052,-2.090614403,0.090790772,0.295390752,1145.385549,1145.384671,1145.386967,1047.37524,1046.49756,1050.8898,5,4,0,1,1858617.366,333052.8428,489232.9204,1023076.05,0,0,0,0,0,2743.695215,32900.61978,0,0,0,0,2144724.374,0,0
432,M791T3474,16.34804865,2.084846388,0.090912716,0.173831782,790.8156599,790.8152327,790.8159139,3473.93244,3469.20834,3477.93564,3,0,3,0,987476.6236,0,564404.6925,0,1804352.316,0,0,20658913.12,0,16969988.6,121368.0682,17117600.91,0,20834141.29,85657.49765,0,560352.5044,0
433,M992T6165,4.040434022,1.952380977,0.090913093,0.251746544,992.4913166,992.4902319,992.4924468,6164.7342,6160.4034,6173.9214,5,1,3,1,29293736.14,2876010.708,201162.797,1749361.896,73291097.04,0,1776221.725,133021199.5,119554493.2,124460785.1,1268348.486,53907499.98,597736.8499,166697326.4,1592910.189,1669572.163,56358481.45,59526384.64
434,M620T5272,2.276403069,-1.922014123,0.091049815,0.261938841,620.2910076,620.2895114,620.2938686,5272.44516,5269.94946,5274.07782,3,0,0,3,37330436.2,19911771.3,17767371.25,23527011.55,7436374.668,5751631.396,2512265.394,14239543.78,17707086.95,5243641.474,1121528.878,8255377.274,19519617.41,21779599.19,3257433.84,11526794.54,45506263.89,5443993.811
435,M1075T6520,124.4673097,2.087970744,0.091127158,0.394996624,1075.162708,1075.161807,1075.164275,6519.5055,6515.7438,6523.3908,4,0,3,1,773877.2737,0,465767.6867,0,0,456791.0672,200899.2751,71339888.56,434172.3179,46029241.52,369029.0308,92777597.7,0,172572164.2,0,9148407.204,1235279.367,46106.04952
436,M501T4886,3.949658367,2.044397748,0.09113325,0.059749953,501.4992761,501.4985989,501.4995686,4886.43798,4884.00264,4886.47944,3,0,3,0,2301306.182,1454423.785,4526571.157,260698.5451,1043156.597,1717374.239,360462.9773,17672781.24,2083204.24,12319813.19,6224875.658,5983946.536,344862.129,5089372.836,181731.716,4915318.414,711475.0169,3192768.261
437,M375T1330,7.705095615,-2.057369094,0.091189345,0.025458204,375.2143943,375.2143606,375.2145832,1330.00272,1323.49098,1330.23252,5,3,2,0,107460778.4,11695823.18,61817807.67,37115556.89,739252.2723,15970809.82,18893.16082,19122860.87,36626.29668,575054.3525,5189694.488,5530214.702,41897.43879,215849.3144,77756.81304,6318422.237,534220.0768,678228.4391
438,M467T3196,5.024442812,-2.049801733,0.091219067,0.07670285,467.2670264,467.2668448,467.2705831,3196.31676,3190.06494,3205.2768,5,3,2,0,27366171.89,10698977.55,26065600.78,96409313.68,28528885.9,13368213.49,568366.3299,8684900.305,9339910.456,3387480.82,701113.439,17608698.83,9907331.775,2798414.962,6412302.41,40106845.41,1746872.713,402666.7907
439,M638T6964,424.2392032,2.086342046,0.091321388,0.072286333,638.3825667,638.3795332,638.3832804,6964.1076,6957.3384,6974.8524,6,0,3,2,66993.13829,88781.00749,1235584.447,135526.1865,8206968.563,174857.5493,705898.4148,1856816339,9016515.02,910457114.7,0,1426667746,0,786409570.6,1365058.144,3364227.357,126239418.1,22373459.36
