mzmed,T016B1,T016BCG,T016PPD,T027B1,T027BCG,T027PPD,T080B1,T080BCG,T080PPD,T095B1,T095BCG,T095PPD,T101B1,T101BCG,T101PPD,T104B1,T104BCG,T104PPD,T011B1,T011BCG,T011PPD,T013B1,T013BCG,T013PPD,T014B1,T014BCG,T014PPD,T032B1,T032BCG,T032PPD,T033B1,T033BCG,T033PPD,T047B1,T047BCG,T047PPD,T051B1,T051BCG,T051PPD,T107B1,T107BCG,T107PPD,T108B1,T108BCG,T108PPD,T166B1,T166BCG,T166PPD,T173B1,T173BCG,T173PPD,T176B1,T176BCG,T176PPD,T035B1,T035BCG,T090B1,T090BCG,T090PPD,T142B1,T142BCG,T142PPD,T163B1,T163BCG,T163PPD,T164B1,T164BCG,T164PPD,T165B1,T165BCG,T165PPD
564.851451,412168185,3281708,4121,969608813,50284199,34091578,8542,51977703,3449788,7768700,5036056,6732560,35849879,536892,105384372,1013328,7159,32451,147823427,8579846,3872814,5725,934576723,7236750,141306175,5001,174827178,3939,311649684,8339,7347406,11352580,120901547,5175186,13160427,0,198112437,16923,4040,9102954,467872698,0,8974232,4309,4611,2719853,529152593,63544107,5397830,10235393,1720774,844172,736581695,5963631,11581120,14161342,2320372,1501502,17000469,241809832,12968312,673117,1951094,444292634,13985058,10082552,254508640,11041305,1743749,18598793,17212529
580.789716,2647835,85437,9201,39891026,62069621,23204030,0,59056,24843021,40766,67350,3118747,751467,55928,57077,0,2841,5759,3199,19644,93026,2603,57675182,7321577,2922753,0,3304,2807,6437987,3342,1866242,21484238,724603,1569135,13843075,0,5089400,10790,0,44601,2892,0,4946,0,6677,158156,2244,179433,3824,712415,0,1035281,2941,11887,402640,10410202,4262030,5868740,15942391,3703,30930,101421,15819109,0,381469,48638,0,0,3893,0,2462
581.040415,3617398,89182,2471,44712789,73100152,26879176,0,40757,29657587,36925,90248,3667914,893817,71664,44989,2492,0,2022,5928,0,86588,0,66080084,8421379,3535956,2721,0,0,7000892,0,2225295,25480098,872417,1781274,16260473,2218,6165182,0,0,63224,0,0,0,0,4041,109364,2363,223708,0,559024,0,4611498,0,3295,525528,11829615,4077373,6789851,18726807,0,21079,23569,717650,2230,380396,54584,2418,0,0,0,0
581.291047,2950494,49094,0,28773349,47394905,17713710,47163,29137,15034895,71214,50525,2378424,514193,37646,53066,32124,0,0,117407,0,68473,0,42328971,5363002,2081285,0,2107,0,5148259,0,1326121,16350934,586335,1185094,10053105,0,3482331,0,0,69232,38083,11125,0,0,0,149084,10741,253102,9033,144381,25652,4733409,23613,21855,273415,7764624,3717732,5836535,12642769,117453,64909,88990,11608403,29655,302569,129447,19345,19374,51585,16897,19907
605.834194,1401584,12281,3008,21519565,17209397,10355777,0,62976,444638,7940584,0,922816,979011,156235,59703,9073,12478,276105,4486211,45388,856059,14822,9185441,559656,1982849,0,1462574,3644,2091647,35722,10804098,24344367,86120,44387073,184030490,5091,812695,11944,2296,705705,10385768,476686,950359,3886,0,115231,296261,298395,901767,0,5610210,6776898,3284736,10514961,4272781,53923883,2992527,1247780,47574976,5553065,1602649,750668,314661,1624910,321407,0,13645122,1340302,6638014,7749505,4019490
614.520949,38479420,14340003,15323648,11965780,555317561,95077937,5868258,99934735,14364291,5775837,10250141,16598260,1950463,6362589,25079783,2891540,374168,12729908,27494209,47077817,57822303,65862,68367795,78198121,23964239,778022,97988395,308952,50308059,752851,68360478,3659461,356237244,61930322,103602389,1521622,69883584,68114,2063459,0,4735055,832939,2428405,396145,90911,0,1767325,5282748,1313565,349041,0,110676,14287270,492233,14230282,8327559,71891331,30998200,11648453,17826292,123718,76716,457655,7894965,58749,0,994803,985230,3246451,1548278,837999
615.021654,16112439,6173827,8249386,6577978,266615037,40620429,1190710,46597989,5200242,2043460,7448424,3917599,857415,2802425,129726882,4374709,1236576,5539853,12212541,19926287,23755019,438238,24466712,38268321,8185611,90845,40856811,313278,21778383,5775081,25617090,1457153,162356720,25990466,36862869,384412168,26650636,16451,392420476,6617887,4868647,1028610,4428348,114998,228328,3172558,831259,136343,882146,9375406,3675028,1456831,19022498,2698103,5297424,2833468,29934837,29148849,4327061,22725311,714002,0,2510847,1059866,937071,2466582,219141,18092564,2765695,4959004,9063387
645.298217,17264364,25067,0,109673638,33194586,11384335,3225,61645,228360,6242994,148930,1663314,1634192,193949,1786298,143346,8212,0,1597582,0,5212,2590,15199384,1762624,1103153,0,33620,0,46607508,3712,7108775,10876312,250176,10931665,43551815,3162,19337794,0,2849,943675,7523,8799,1106453,0,0,2069354,11055,390585,5782,2419952,6402,11337340,4889,0,2113541,25280461,1794857,2021589,13218367,21804,875920,2060574,7963115,6549,2400856,110973,2798,7245,0,0,2749
645.632656,8635709,4910,0,55418033,5425646,1051370,0,2747,333922,3512219,22122,615320,745102,71023,799099,11814,41584,0,719109,0,0,0,7157122,525740,554822,0,0,0,24185285,0,2503201,4734200,6075,6036029,19445366,0,10209822,0,0,373086,4282,0,581119,0,2056,1035433,6731,37909,2700,153271,0,10792459,0,0,887235,13661756,465635,479052,6506437,8713,137951,38893,1587143,20272,872320,68944,0,0,0,0,0
692.264553,96446804,307660,6280,3009984,7542481,52771250,13472,7276056,9007522,42126635,725119,137577527,2331623,17892098,1247232,1258590,10439,6573,2319433,127118,4930002,5865,24294021,856019274,1654436,0,665318,2605,14918557,0,896402179,284506759,8121553,41173766,6968855,2469,111650996,0,0,293952,1591720,191344,9016390,2384,4410,4044565,903060,33591479,284024,4720816,58763,640789,7005265,17348,5030825,716901363,36748165,7717460,410160809,3417323,618847,67308,781537,544017,4962946,1872864,3926029,14941,37169,5581,6438
