id,name,fold,tstat,pvalue,anova,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,B1,BCG,PPD,T011B1_not_identified,T013B1_not_identified,T014B1_not_identified,T032B1_not_identified,T033B1_not_identified,T047B1_not_identified,T011BCG_not_identified,T013BCG_not_identified,T014BCG_not_identified,T032BCG_not_identified,T033BCG_not_identified,T047BCG_not_identified,T011PPD_not_identified,T013PPD_not_identified,T014PPD_not_identified,T032PPD_not_identified,T033PPD_not_identified,T047PPD_not_identified,isotopes
3861,M503T4136,33.02686788,-2.719925158,0.04160858,0.005336377,503.2848727,503.2848339,503.2860609,4135.6932,4132.3089,4138.28798,3,0,0,3,21001087055,2647575275,10919129757,120869080,7073350477,8642148264,844633061.1,56671885.38,2895624.688,373318724.2,238434329.1,10202597.39,2193859.329,186770312.1,6389669.783,35304717.52,107955372,75918680.45,
3862,M520T4707,2.893177797,2.339952644,0.041612214,0.072004162,519.5306213,519.5304096,519.531191,4706.54098,4695.72084,4710.71184,8,2,3,3,104328.041,1076708.698,0,111994.2079,4582595.845,2316085.257,6607655.041,3411038.39,1735964.82,3036689.612,6276875.953,2631855.609,519409.4081,2981549.996,4831882.343,996907.6783,2222025.764,0,
3863,M857T1183_2,108.0722281,-2.722739323,0.041619947,0.010780588,857.3700622,857.3699313,857.3701845,1182.84794,1179.24606,1183.27092,5,4,0,1,21361592.88,12750036.64,1410297.355,2664982.031,19552321.7,2906410.793,356190.3153,64662.40875,0,52631.33864,8915.643279,78758.71985,19830.45996,25972.32339,2340021.153,26827.2637,5539987.424,0,
3864,M841T6245,4.972935805,-2.452145238,0.041623783,0.00816265,841.3997503,841.3981261,841.4008184,6245.3269,6237.3,6254.888,14,5,4,5,998207721.7,372901556.1,2162343585,729373361.3,668611705,546330240.9,50155404.33,55591724.22,868335919.3,30815713.5,89899610.75,6717590.526,22978509,90016641.27,271869406.9,54787422.77,107634991.5,9378086.804,
3865,M517T3567,3.206128588,-2.43923105,0.041632545,0.411839323,516.7817099,516.7802313,516.7826927,3567.0633,3564.87116,3570.1766,5,4,0,1,25236636.11,38205084.94,26334153.62,10067911.23,3606201.912,18984769.2,1059152.542,9606043.914,317919.8155,16814781.25,9695323.413,694504.1261,248463.4651,10996467.03,3844807.528,12665524.45,4251195.405,1371051952,
3866,M453T4347,5.143658488,-2.660443801,0.041636463,0.00589768,452.9452123,452.94505,452.9452778,4346.67488,4345.05556,4354.09648,4,3,0,1,39410533.44,19398152.43,38384365.41,4501198.199,6990865.13,15772203.14,1875584.498,663034.025,2182664.851,8623001.615,5478389.428,5373589.4,3832740.256,755552.2358,8367864.29,814972.1163,1429564.191,1568163.782,
3867,M756T6679_2,3.995423826,-2.507283658,0.04163681,0.034254042,756.3943029,756.3928538,756.3950159,6679.1993,6671.0668,6683.5378,8,4,2,2,2046237.79,74072115.66,186914626,59858998.28,118040480.9,133363011.4,19380470.31,30920386.63,3518807.955,14027590.35,75599768.17,291287.0039,96704668.75,19820499.96,60112467.65,32392977.61,3754739.209,11457504.92,
3868,M629T2080_1,29.27185918,-2.72059149,0.041637354,0.007582081,628.6393951,628.6393212,628.640248,2079.86346,2076.84912,2083.43744,3,3,0,0,46064568.17,10198662.2,69606845.37,22380720.8,9248736.052,11992159.6,256744.4022,531452.7468,257413.2967,1366302.193,871049.9435,2507297.993,13014.16185,1625400.163,1531899.897,10203582.46,440220.4312,0,
3869,M686T3500,4.650902203,-2.66879371,0.041637396,0.003306141,685.7986795,685.7977004,685.7996066,3500.35464,3496.62908,3507.49684,6,1,4,1,77718743.31,68640075.91,65548516.74,3525050.073,5364695.53,65410935.49,9037946.029,13284203.64,4201064.062,3709461.692,20224877.42,11080618.58,428885.3469,4933046.81,8498387.757,2249578.592,3330735.944,1984448.806,
3870,M1225T2195,4.515177344,-2.498241283,0.041637821,0.017139425,1225.247699,1225.247451,1225.248632,2195.37704,2192.67622,2203.17934,5,4,1,0,3496446.921,2423860.757,8297302.05,6452074.122,1745800.986,1481029.306,17562.99261,452740.6303,77430.33783,3125375.951,1498470.561,120905.8068,5107.512545,0,31946.40258,3761997.226,48687.3406,0,
