mzmed,T035B1,T090B1,T142B1,T163B1,T164B1,T165B1,T035BCG,T090BCG,T142BCG,T163BCG,T164BCG,T165BCG,T090PPD,T142PPD,T163PPD,T164PPD
400.908423,481196,66907,29532946,216452,6249377,23923884,186704,254763,277850,178598012,16969932,215950379,385434,851970,261744,2805661
401.286294,1026774,1491313,0,0,58956119,6150772,967873,965531,260521,35071900,45994074,32567975,1564991,347224,9537706,21790540
401.897716,10363,122964,14101440,76508,256102,8832601,316313,167535,1019774,18149,258703,894465,2742946,534940,255368,1083464
402.209784,2479716,6424386,49596210,25429743,22848998,16424652,21194299,415614,1041141,59476951,65191794,38457307,3840138,4589485,35985035,30469239
402.212413,166950,1334019,6668420,7614265,6723415,26661803,19142775,2779863,4743448,2001350,2907320,8815983,3439200,2073783,6388788,2457612
402.227523,416717,1372783,8206779,27249023,3078882,495080,66827758,3521869,18870694,549691,2396400,5924100,10062525,9771815,2217895,1624384
402.269172,13773041,0,23317896,11328082,0,22409078,20537140,0,5472276,105985802,153839500,167543634,3982356,17460306,0,123327324
402.269545,1831535,1774106,141702944,1312030,10963372,63511819,1325429,1165624,571262,60756701,102840845,53319956,5694040,504913,1698248,63863367
402.270032,249573,4400100,31396747,275112,2164693,55712118,1812283,970675,402122,15619273,59771361,80164957,2680739,542706,4777318,78149178
402.270149,554355,63495,52678245,314981,2184680,41308814,583239,1316901,163134,43390569,32507262,25765947,1085422,0,270598,24803090
402.543968,8310324,135043,0,271380,204952,2668526,9214950,0,138641,6916237,2923319,488792,3415031,248785,23373,619633
402.710076,6261790,85620,4810849,125133750,6164784,407999644,1759276,726798,148571651,36161229,66283540,68748172,5213581,130655,5577351,0
403.214935,550408,1566823,51588512,21216681,30651417,4227887,3306286,1880399,18522015,0,50779365,17448559,3144206,5056601,8379097,3875447
403.228717,21710833,5946315,120041330,4549213,31390741,5492170,100839010,3469103,9365083,3119985,3541078,7488542,39393451,19051728,16564046,3425135
403.237421,823630,15092540,47446100,29711635,9380606,72982367,54237323,5608310,14672096,49453295,48046143,60406715,75057655,5415591,9933633,17979169
403.458729,539344,638950,781804,367936,1262781,19030053,4561913,1022016,2025291,0,1343799,10900531,2795007,995944,11973406,3895457
403.709439,722059,466616,537641,88887218,5480839,15901683,3948074,540775,46942321,38389,861797,8917431,2485424,938136,7032468,3906101
403.714032,196459646,159077904,430626,11125621,2190049,46065089,163194891,147422567,12590859,2747985,4602725,26773549,365594949,26924134,1258275,33262415
403.738631,2764343,31068676,3491554,7482533,20649379,25537617,107662917,265457032,3928772,130495,64663150,35939435,30117518,1598026,4129988,7376914
403.99367,74524,4880097,67428217,187061,890137,683082,512293,4009802,2221099,0,5243035,1136275,333879,3469707,514740,16547557
