mzmed,T011B1,T013B1,T014B1,T032B1,T033B1,T047B1,T011BCG,T013BCG,T014BCG,T032BCG,T033BCG,T047BCG,T011PPD,T013PPD,T014PPD,T032PPD,T033PPD,T047PPD
341.167611,104885031,162453112,148751410,52235751,318178680,298173823,30237,13352554,127565,126846505,150364406,112946131,1292202,5762018,28458715,333198404,2323564,147155
341.849503,12798046,7710005,10783055,9469748,4081630,14248729,24975,625570,3402524,8203939,2181481,539997,1087137,2650263,950738,7649120,1590770,8130
342.169639,3428564,3765235,5507873,1505061,14271798,14991103,0,1105783,37455,702735,3402930,1977346,92500,237126,610966,15403004,3891,2307243
342.505336,21370,44846,10144,107858,1982058,1887781,2387,6753009,0,4424074,9296890,3225667,1281624,4848227,739569,409489,28889,3293
343.245108,275903,368072,27133,1121842,1762305,2988717,220307,27503700,54383,16186514,21680056,4257393,606544,10672686,710239,16061821,3021595,3885169
343.875684,4161939,1841461,2458883,3463200,1391098,2440717,6823,1339612,634593,3256666,0,88414,0,71739,143110,1511218,0,142227
344.227749,893655975,266340884,19017034,538435182,2669517384,3156106180,1080473,1779101,782164,205752007,359686667,29652091,64249428,173140349,129461924,1825809844,4904302,499038
345.176557,1048011,1088916,846379,1824062,150149,393278,16354,7324650,408606,3502166,5904203,12272835,491069,9083000,1557218,3912196,3045958,98151
346.706182,1649902,1319308,2971461,2283239,1730453,1466870,0,45498,680730,94310,2463494,825782,66946,304954,381897,1987126,15993,2102496
347.561899,843089,5358692,7077933,4050162,1623175,2689583,7546,1340549,21732,3623719,2987275,0,18641,111438,824339,2022341,20135,8299
348.68657,35314768,9320056,33771000,5303991,3577904,8987182,178692,191570,5768779,6877709,6550777,112772,50442,594422,660817,1226731,588411,0
348.881103,141222503,51325817,367575215,105296229,156164044,184905335,29969344,38760618,967214,47643349,134204949,378446,2594462,16336928,41870051,16192478,7080572,74018
349.215442,78781969,32850401,208888200,61883932,87181734,103333558,19283565,28157214,830796,25760901,73247668,105028,1348790,8410126,22280442,10301477,3349847,273174
349.54976,25657696,8354812,65767217,18563497,28326264,31707066,5617935,5850370,335472,9018171,23020847,0,387996,2582569,7214207,2711787,1035502,0
