mzmed,T016B1,T027B1,T080B1,T095B1,T101B1,T104B1,T016BCG,T027BCG,T080BCG,T095BCG,T101BCG,T104BCG,T016PPD,T027PPD,T080PPD,T095PPD,T101PPD,T104PPD
444.658252,8692433,106938657,23085,4595434,11614169,455548,10005,1369165,12837,70666526,606701,94620,169758,13390058,11751597,1918405,326044,34696
444.744845,9753875,13136832,2182263,20813548,15592110,210602,1746253,70456333,2712224,531242,300688207,926296,791908,93515941,213491195,603594187,554065,1341599
444.744889,1576269661,2646102838,12586611,56833901,10414833,3255973,224241936,6447163655,471677821,77476642,8621892,42130754,2226434,1096290853,687378,200401,181462754,659159
445.160029,17311093,176551594,175378,3362500,5017036,40319,5162,7410654,14703,30416740,196521,0,44750,6058671,6167640,679051,255063,3946320
445.220478,12700197,42243477,8478163,9580741,2470446,576854,1976395,66865766,11698999,13926426,459437,53478664,5695595,42586153,4799405,518379,18494494,2558320
445.237534,465099,6256664,8993478,11078175,2688748,73359,20121,10051175,457855,1410973,488785,3288559,341815,3489637,842789,1700732,2153906,3722686
445.246198,3491879,15398189,2793571,4865337,294563,3408450,213239,2761496,643434,809652,2768999,546885,300285,5479526,1376516,4390723,1143005,293422574
445.276946,3592556,19057280,1469344,10433672,3851340,39431290,77425,532008,1373338,51365528,726798,4811436,3432942,13951239,345345,1544517,86360485,1120234
445.5959,332656020,22878857,7439138,64886,12376,3128560,22455748,20691800,724989764,10103329,117440,509335,218164,2021736,420357,144287,17559113,337983
445.926696,2222591,100770092,13977,1109900,146556,16446,9520,14936987,449136,19688,118958,15530,22710,17240281,3066361,1077358,409970,38239
446.211524,413426,1582970,127353,470039,175165,9199,2056,2310470,117878,25751,87224,5257,10305,3498017,1138449,393854,38469,15089
446.259405,55298325,114580812,1771661,9051514,7737015,352872,2707709,273354171,696904,15210216,0,1405000,49581,60628667,616906,57041,9011041,0
446.889308,1799931,695063,2238,12965460,445572,0,2424,7884670,9855,28092,6363,10583,0,2616751,480806,374074,13322,22374
